t_f_9901.2Hz,V2_f_9901.2Hz,t_f_990.1Hz,V2_f_990.1Hz,t_f_99.0Hz,V2_f_99.0Hz,t_f_9.9Hz,V2_f_9.9Hz,t_f_1.0Hz,V2_f_1.0Hz
-1.6,4.0,-1.6,4.0,-1.6,4.0,-0.16,4.0,-1.6,4.0
-1.5984,4.0,-1.5984,4.0,-1.5984,4.0,-0.15984,3.96,-1.5984,3.96
-1.5968,4.0,-1.5968,4.0,-1.5968,4.0,-0.15968000000000002,3.96,-1.5968,3.96
-1.5952000000000002,4.0,-1.5952000000000002,4.0,-1.5952000000000002,4.0,-0.15952,3.96,-1.5952000000000002,3.96
-1.5936000000000001,3.96,-1.5936000000000001,3.96,-1.5936000000000001,3.96,-0.15936,3.96,-1.5936000000000001,3.96
-1.592,4.0,-1.592,4.0,-1.592,4.0,-0.1592,3.96,-1.592,4.0
-1.5904,4.0,-1.5904,4.0,-1.5904,4.0,-0.15904000000000001,3.96,-1.5904,4.0
-1.5888,3.96,-1.5888,3.96,-1.5888,3.96,-0.15888,3.96,-1.5888,4.0
-1.5872000000000002,4.0,-1.5872000000000002,4.0,-1.5872000000000002,4.0,-0.15872,3.96,-1.5872000000000002,3.96
-1.5856000000000001,4.0,-1.5856000000000001,4.0,-1.5856000000000001,4.0,-0.15856,4.0,-1.5856000000000001,3.96
-1.584,4.0,-1.584,4.0,-1.584,4.0,-0.1584,3.96,-1.584,4.0
-1.5824,3.96,-1.5824,3.96,-1.5824,3.96,-0.15824,4.0,-1.5824,3.96
-1.5808,3.96,-1.5808,3.96,-1.5808,3.96,-0.15808,4.0,-1.5808,4.0
-1.5792000000000002,3.96,-1.5792000000000002,3.96,-1.5792000000000002,3.96,-0.15792,3.96,-1.5792000000000002,4.0
-1.5776000000000001,3.96,-1.5776000000000001,3.96,-1.5776000000000001,3.96,-0.15776,3.96,-1.5776000000000001,3.96
-1.576,4.0,-1.576,4.0,-1.576,4.0,-0.1576,4.0,-1.576,4.0
-1.5744,4.0,-1.5744,4.0,-1.5744,4.0,-0.15744,3.96,-1.5744,4.0
-1.5728,4.0,-1.5728,4.0,-1.5728,4.0,-0.15728,3.96,-1.5728,3.96
-1.5712000000000002,3.96,-1.5712000000000002,3.96,-1.5712000000000002,3.96,-0.15712,3.96,-1.5712000000000002,3.96
-1.5696,4.0,-1.5696,4.0,-1.5696,4.0,-0.15696000000000002,3.96,-1.5696,3.96
-1.568,3.96,-1.568,3.96,-1.568,3.96,-0.1568,3.96,-1.568,4.0
-1.5664,3.96,-1.5664,3.96,-1.5664,3.96,-0.15664,3.96,-1.5664,3.96
-1.5648000000000002,3.96,-1.5648000000000002,3.96,-1.5648000000000002,3.96,-0.15648,4.0,-1.5648000000000002,4.0
-1.5632000000000001,4.0,-1.5632000000000001,4.0,-1.5632000000000001,4.0,-0.15632000000000001,3.96,-1.5632000000000001,4.0
-1.5616,3.96,-1.5616,3.96,-1.5616,3.96,-0.15616,3.96,-1.5616,3.96
-1.56,4.0,-1.56,4.0,-1.56,4.0,-0.156,3.96,-1.56,4.0
-1.5584,3.96,-1.5584,3.96,-1.5584,3.96,-0.15584,3.96,-1.5584,4.0
-1.5568000000000002,3.96,-1.5568000000000002,3.96,-1.5568000000000002,3.96,-0.15568,4.0,-1.5568000000000002,3.96
-1.5552000000000001,3.96,-1.5552000000000001,3.96,-1.5552000000000001,3.96,-0.15552,4.0,-1.5552000000000001,4.0
-1.5536,4.0,-1.5536,4.0,-1.5536,4.0,-0.15536,3.96,-1.5536,3.96
-1.552,3.96,-1.552,3.96,-1.552,3.96,-0.1552,3.96,-1.552,4.0
-1.5504,3.96,-1.5504,3.96,-1.5504,3.96,-0.15504,3.96,-1.5504,4.0
-1.5488000000000002,3.96,-1.5488000000000002,3.96,-1.5488000000000002,3.96,-0.15488,3.96,-1.5488000000000002,4.0
-1.5472000000000001,3.96,-1.5472000000000001,3.96,-1.5472000000000001,3.96,-0.15472,4.0,-1.5472000000000001,4.0
-1.5456,4.0,-1.5456,4.0,-1.5456,4.0,-0.15456,4.0,-1.5456,3.96
-1.544,3.96,-1.544,3.96,-1.544,3.96,-0.1544,3.96,-1.544,4.0
-1.5424,4.0,-1.5424,4.0,-1.5424,4.0,-0.15424000000000002,3.96,-1.5424,4.0
-1.5408000000000002,3.96,-1.5408000000000002,3.96,-1.5408000000000002,3.96,-0.15408,3.96,-1.5408000000000002,3.96
-1.5392000000000001,3.96,-1.5392000000000001,3.96,-1.5392000000000001,3.96,-0.15392,3.96,-1.5392000000000001,3.96
-1.5376,4.0,-1.5376,4.0,-1.5376,4.0,-0.15376,3.96,-1.5376,4.0
-1.536,3.96,-1.536,3.96,-1.536,3.96,-0.15360000000000001,3.96,-1.536,4.0
-1.5344,3.96,-1.5344,3.96,-1.5344,3.96,-0.15344,3.96,-1.5344,4.0
-1.5328000000000002,4.0,-1.5328000000000002,4.0,-1.5328000000000002,4.0,-0.15328,3.96,-1.5328000000000002,3.96
-1.5312000000000001,3.96,-1.5312000000000001,3.96,-1.5312000000000001,3.96,-0.15312,4.0,-1.5312000000000001,3.96
-1.5296,3.96,-1.5296,3.96,-1.5296,3.96,-0.15296,4.0,-1.5296,3.96
-1.528,3.96,-1.528,3.96,-1.528,3.96,-0.1528,3.96,-1.528,3.96
-1.5264000000000002,3.96,-1.5264000000000002,3.96,-1.5264000000000002,3.96,-0.15264,4.0,-1.5264000000000002,4.0
-1.5248000000000002,3.96,-1.5248000000000002,3.96,-1.5248000000000002,3.96,-0.15248,3.96,-1.5248000000000002,3.96
-1.5232,4.0,-1.5232,4.0,-1.5232,4.0,-0.15232,4.0,-1.5232,4.0
-1.5216,3.96,-1.5216,3.96,-1.5216,3.96,-0.15216,4.0,-1.5216,3.96
-1.52,3.96,-1.52,3.96,-1.52,3.96,-0.152,3.96,-1.52,3.96
-1.5184000000000002,4.0,-1.5184000000000002,4.0,-1.5184000000000002,4.0,-0.15184,3.96,-1.5184000000000002,3.96
-1.5168000000000001,3.96,-1.5168000000000001,3.96,-1.5168000000000001,3.96,-0.15168,4.0,-1.5168000000000001,3.96
-1.5152,0.04,-1.5152,0.04,-1.5152,0.04,-0.15152,0.04,-1.5152,0.0
-1.5136,0.04,-1.5136,0.04,-1.5136,0.04,-0.15136,0.04,-1.5136,0.0
-1.512,0.0,-1.512,0.0,-1.512,0.0,-0.1512,0.04,-1.512,0.0
-1.5104000000000002,0.0,-1.5104000000000002,0.0,-1.5104000000000002,0.0,-0.15104,0.04,-1.5104000000000002,0.04
-1.5088000000000001,0.0,-1.5088000000000001,0.0,-1.5088000000000001,0.0,-0.15088000000000001,0.04,-1.5088000000000001,0.0
-1.5072,0.04,-1.5072,0.04,-1.5072,0.04,-0.15072,0.0,-1.5072,0.0
-1.5056,0.0,-1.5056,0.0,-1.5056,0.0,-0.15056,0.0,-1.5056,0.0
-1.504,0.0,-1.504,0.0,-1.504,0.0,-0.1504,0.04,-1.504,0.0
-1.5024000000000002,0.0,-1.5024000000000002,0.0,-1.5024000000000002,0.0,-0.15024,0.04,-1.5024000000000002,0.0
-1.5008000000000001,0.0,-1.5008000000000001,0.0,-1.5008000000000001,0.0,-0.15008,0.04,-1.5008000000000001,0.04
-1.4992,0.0,-1.4992,0.0,-1.4992,0.0,-0.14992,0.0,-1.4992,0.0
-1.4976,0.0,-1.4976,0.0,-1.4976,0.0,-0.14976,0.04,-1.4976,0.0
-1.496,0.04,-1.496,0.04,-1.496,0.04,-0.1496,0.04,-1.496,0.0
-1.4944000000000002,0.0,-1.4944000000000002,0.0,-1.4944000000000002,0.0,-0.14944,0.04,-1.4944000000000002,0.04
-1.4928000000000001,0.0,-1.4928000000000001,0.0,-1.4928000000000001,0.0,-0.14928,0.04,-1.4928000000000001,0.0
-1.4912,0.0,-1.4912,0.0,-1.4912,0.0,-0.14912,0.0,-1.4912,0.04
-1.4896,0.0,-1.4896,0.0,-1.4896,0.0,-0.14896,0.04,-1.4896,0.0
-1.488,0.0,-1.488,0.0,-1.488,0.0,-0.1488,0.04,-1.488,0.0
-1.4864000000000002,0.0,-1.4864000000000002,0.0,-1.4864000000000002,0.0,-0.14864,0.04,-1.4864000000000002,0.0
-1.4848000000000001,0.0,-1.4848000000000001,0.0,-1.4848000000000001,0.0,-0.14848,0.0,-1.4848000000000001,0.0
-1.4832,0.0,-1.4832,0.0,-1.4832,0.0,-0.14832,0.0,-1.4832,0.04
-1.4816,0.0,-1.4816,0.0,-1.4816,0.0,-0.14816000000000001,0.04,-1.4816,0.0
-1.48,0.04,-1.48,0.04,-1.48,0.04,-0.148,0.0,-1.48,0.0
-1.4784000000000002,0.0,-1.4784000000000002,0.0,-1.4784000000000002,0.0,-0.14784,0.04,-1.4784000000000002,0.0
-1.4768000000000001,0.0,-1.4768000000000001,0.0,-1.4768000000000001,0.0,-0.14768,0.0,-1.4768000000000001,0.0
-1.4752,0.0,-1.4752,0.0,-1.4752,0.0,-0.14752,0.04,-1.4752,0.0
-1.4736,0.04,-1.4736,0.04,-1.4736,0.04,-0.14736,0.04,-1.4736,0.0
-1.472,0.0,-1.472,0.0,-1.472,0.0,-0.1472,0.04,-1.472,0.0
-1.4704000000000002,0.0,-1.4704000000000002,0.0,-1.4704000000000002,0.0,-0.14704,0.04,-1.4704000000000002,0.0
-1.4688,0.0,-1.4688,0.0,-1.4688,0.0,-0.14688,0.04,-1.4688,0.04
-1.4672,0.0,-1.4672,0.0,-1.4672,0.0,-0.14672,0.0,-1.4672,0.04
-1.4656,0.0,-1.4656,0.0,-1.4656,0.0,-0.14656,0.0,-1.4656,0.0
-1.464,0.0,-1.464,0.0,-1.464,0.0,-0.1464,0.0,-1.464,0.0
-1.4624000000000001,0.04,-1.4624000000000001,0.04,-1.4624000000000001,0.04,-0.14624,0.04,-1.4624000000000001,0.0
-1.4608,0.04,-1.4608,0.04,-1.4608,0.04,-0.14608,0.04,-1.4608,0.0
-1.4592,0.0,-1.4592,0.0,-1.4592,0.0,-0.14592,0.04,-1.4592,0.0
-1.4576,0.04,-1.4576,0.04,-1.4576,0.04,-0.14576,0.0,-1.4576,0.04
-1.456,0.0,-1.456,0.0,-1.456,0.0,-0.1456,0.0,-1.456,0.04
-1.4544000000000001,0.0,-1.4544000000000001,0.0,-1.4544000000000001,0.0,-0.14544,0.0,-1.4544000000000001,0.0
-1.4528,0.0,-1.4528,0.0,-1.4528,0.0,-0.14528,0.0,-1.4528,0.0
-1.4512,0.0,-1.4512,0.0,-1.4512,0.0,-0.14512,0.0,-1.4512,0.0
-1.4496,0.04,-1.4496,0.04,-1.4496,0.04,-0.14496,0.0,-1.4496,0.0
-1.4480000000000002,0.0,-1.4480000000000002,0.0,-1.4480000000000002,0.0,-0.1448,0.0,-1.4480000000000002,0.0
-1.4464000000000001,0.0,-1.4464000000000001,0.0,-1.4464000000000001,0.0,-0.14464,0.04,-1.4464000000000001,0.0
-1.4448,0.0,-1.4448,0.0,-1.4448,0.0,-0.14448,0.0,-1.4448,0.04
-1.4432,0.0,-1.4432,0.0,-1.4432,0.0,-0.14432,0.0,-1.4432,0.0
-1.4416,0.0,-1.4416,0.0,-1.4416,0.0,-0.14416,0.0,-1.4416,0.0
-1.4400000000000002,0.04,-1.4400000000000002,0.04,-1.4400000000000002,0.04,-0.14400000000000002,0.04,-1.4400000000000002,0.0
-1.4384000000000001,0.0,-1.4384000000000001,0.0,-1.4384000000000001,0.0,-0.14384,0.0,-1.4384000000000001,0.0
-1.4368,0.0,-1.4368,0.0,-1.4368,0.0,-0.14368,0.0,-1.4368,0.0
-1.4352,0.04,-1.4352,0.04,-1.4352,0.04,-0.14352,0.0,-1.4352,0.0
-1.4336,0.04,-1.4336,0.04,-1.4336,0.04,-0.14336,0.0,-1.4336,0.04
-1.4320000000000002,0.0,-1.4320000000000002,0.0,-1.4320000000000002,0.0,-0.1432,0.0,-1.4320000000000002,0.0
-1.4304000000000001,0.0,-1.4304000000000001,0.0,-1.4304000000000001,0.0,-0.14304,0.0,-1.4304000000000001,0.0
-1.4288,0.04,-1.4288,0.04,-1.4288,0.04,-0.14288,0.04,-1.4288,0.04
-1.4272,0.0,-1.4272,0.0,-1.4272,0.0,-0.14272,0.04,-1.4272,0.0
-1.4256000000000002,0.0,-1.4256000000000002,0.0,-1.4256000000000002,0.0,-0.14256,0.0,-1.4256000000000002,0.0
-1.4240000000000002,0.0,-1.4240000000000002,0.0,-1.4240000000000002,0.0,-0.1424,0.0,-1.4240000000000002,0.0
-1.4224,0.0,-1.4224,0.0,-1.4224,0.0,-0.14224,0.0,-1.4224,0.0
-1.4208,0.0,-1.4208,0.0,-1.4208,0.0,-0.14208,0.0,-1.4208,0.0
-1.4192,0.0,-1.4192,0.0,-1.4192,0.0,-0.14192,0.0,-1.4192,0.0
-1.4176000000000002,0.0,-1.4176000000000002,0.0,-1.4176000000000002,0.0,-0.14176,0.0,-1.4176000000000002,0.0
-1.4160000000000001,0.04,-1.4160000000000001,0.04,-1.4160000000000001,0.04,-0.1416,0.0,-1.4160000000000001,0.0
-1.4144,0.0,-1.4144,0.0,-1.4144,0.0,-0.14144,0.04,-1.4144,0.0
-1.4128,0.0,-1.4128,0.0,-1.4128,0.0,-0.14128000000000002,0.0,-1.4128,0.0
-1.4112,0.0,-1.4112,0.0,-1.4112,0.0,-0.14112,0.0,-1.4112,0.0
-1.4096000000000002,0.0,-1.4096000000000002,0.0,-1.4096000000000002,0.0,-0.14096,0.0,-1.4096000000000002,0.0
-1.4080000000000001,0.0,-1.4080000000000001,0.0,-1.4080000000000001,0.0,-0.1408,0.0,-1.4080000000000001,0.0
-1.4064,0.04,-1.4064,0.04,-1.4064,0.04,-0.14064,0.0,-1.4064,0.0
-1.4048,0.0,-1.4048,0.0,-1.4048,0.0,-0.14048,0.0,-1.4048,0.0
-1.4032,0.0,-1.4032,0.0,-1.4032,0.0,-0.14032,0.0,-1.4032,0.0
-1.4016000000000002,0.0,-1.4016000000000002,0.0,-1.4016000000000002,0.0,-0.14016,0.0,-1.4016000000000002,0.0
-1.4000000000000001,0.0,-1.4000000000000001,0.0,-1.4000000000000001,0.0,-0.14,0.0,-1.4000000000000001,0.0
-1.3984,0.0,-1.3984,0.0,-1.3984,0.0,-0.13984,0.04,-1.3984,0.0
-1.3968,0.0,-1.3968,0.0,-1.3968,0.0,-0.13968,0.04,-1.3968,0.0
-1.3952,0.0,-1.3952,0.0,-1.3952,0.0,-0.13952,0.0,-1.3952,0.0
-1.3936000000000002,0.0,-1.3936000000000002,0.0,-1.3936000000000002,0.0,-0.13936,0.0,-1.3936000000000002,0.0
-1.3920000000000001,0.0,-1.3920000000000001,0.0,-1.3920000000000001,0.0,-0.1392,0.0,-1.3920000000000001,0.0
-1.3904,0.0,-1.3904,0.0,-1.3904,0.0,-0.13904,0.0,-1.3904,0.0
-1.3888,0.0,-1.3888,0.0,-1.3888,0.0,-0.13888,0.0,-1.3888,0.04
-1.3872,0.0,-1.3872,0.0,-1.3872,0.0,-0.13872,0.04,-1.3872,0.04
-1.3856000000000002,0.0,-1.3856000000000002,0.0,-1.3856000000000002,0.0,-0.13856000000000002,0.0,-1.3856000000000002,0.0
-1.3840000000000001,0.0,-1.3840000000000001,0.0,-1.3840000000000001,0.0,-0.1384,0.0,-1.3840000000000001,0.0
-1.3824,0.0,-1.3824,0.0,-1.3824,0.0,-0.13824,0.0,-1.3824,0.0
-1.3808,0.04,-1.3808,0.04,-1.3808,0.04,-0.13808,0.04,-1.3808,0.0
-1.3792,0.0,-1.3792,0.0,-1.3792,0.0,-0.13792,0.0,-1.3792,0.0
-1.3776000000000002,0.0,-1.3776000000000002,0.0,-1.3776000000000002,0.0,-0.13776,0.04,-1.3776000000000002,0.0
-1.3760000000000001,0.04,-1.3760000000000001,0.04,-1.3760000000000001,0.04,-0.1376,0.0,-1.3760000000000001,0.0
-1.3744,0.0,-1.3744,0.0,-1.3744,0.0,-0.13744,0.0,-1.3744,0.0
-1.3728,0.0,-1.3728,0.0,-1.3728,0.0,-0.13728,0.0,-1.3728,0.0
-1.3712,0.0,-1.3712,0.0,-1.3712,0.0,-0.13712,0.0,-1.3712,0.0
-1.3696000000000002,0.0,-1.3696000000000002,0.0,-1.3696000000000002,0.0,-0.13696,0.0,-1.3696000000000002,0.0
-1.368,0.0,-1.368,0.0,-1.368,0.0,-0.1368,0.0,-1.368,0.0
-1.3664,0.0,-1.3664,0.0,-1.3664,0.0,-0.13664,0.0,-1.3664,0.0
-1.3648,0.0,-1.3648,0.0,-1.3648,0.0,-0.13648,0.04,-1.3648,0.0
-1.3632,0.0,-1.3632,0.0,-1.3632,0.0,-0.13632,0.0,-1.3632,0.0
-1.3616000000000001,0.0,-1.3616000000000001,0.0,-1.3616000000000001,0.0,-0.13616,0.0,-1.3616000000000001,0.0
-1.36,0.0,-1.36,0.0,-1.36,0.0,-0.136,0.0,-1.36,0.04
-1.3584,0.0,-1.3584,0.0,-1.3584,0.0,-0.13584000000000002,0.0,-1.3584,0.04
-1.3568,0.0,-1.3568,0.0,-1.3568,0.0,-0.13568,0.04,-1.3568,0.0
-1.3552,0.0,-1.3552,0.0,-1.3552,0.0,-0.13552,0.04,-1.3552,0.0
-1.3536000000000001,0.0,-1.3536000000000001,0.0,-1.3536000000000001,0.0,-0.13536,0.0,-1.3536000000000001,0.0
-1.352,0.0,-1.352,0.0,-1.352,0.0,-0.1352,0.0,-1.352,0.04
-1.3504,0.0,-1.3504,0.0,-1.3504,0.0,-0.13504,0.0,-1.3504,0.0
-1.3488,0.04,-1.3488,0.04,-1.3488,0.04,-0.13488,0.0,-1.3488,0.0
-1.3472,0.0,-1.3472,0.0,-1.3472,0.0,-0.13472,0.04,-1.3472,0.0
-1.3456000000000001,0.0,-1.3456000000000001,0.0,-1.3456000000000001,0.0,-0.13456,0.0,-1.3456000000000001,0.0
-1.344,0.0,-1.344,0.0,-1.344,0.0,-0.1344,0.04,-1.344,0.04
-1.3424,0.0,-1.3424,0.0,-1.3424,0.0,-0.13424,0.0,-1.3424,0.04
-1.3408000000000002,0.0,-1.3408000000000002,0.0,-1.3408000000000002,0.0,-0.13408,0.0,-1.3408000000000002,0.0
-1.3392,0.0,-1.3392,0.0,-1.3392,0.0,-0.13392,0.0,-1.3392,0.0
-1.3376000000000001,0.0,-1.3376000000000001,0.0,-1.3376000000000001,0.0,-0.13376,0.0,-1.3376000000000001,0.0
