t_f_9901.2Hz,V1_f_9901.2Hz,t_f_990.1Hz,V1_f_990.1Hz,t_f_99.0Hz,V1_f_99.0Hz,t_f_9.9Hz,V1_f_9.9Hz,t_f_1.0Hz,V1_f_1.0Hz
-0.00016,0.52,-0.00016,0.52,-0.016,4.0,-0.16,4.0,-1.6,4.0
-0.00015984000000000001,0.56,-0.00015984000000000001,0.52,-0.015984,4.0,-0.15984,4.0,-1.5984,4.0
-0.00015968000000000002,0.52,-0.00015968000000000002,0.52,-0.015968,4.0,-0.15968000000000002,4.0,-1.5968,4.0
-0.00015952000000000002,0.52,-0.00015952000000000002,0.56,-0.015952,4.0,-0.15952,4.0,-1.5952000000000002,4.0
-0.00015936000000000002,0.52,-0.00015936000000000002,0.52,-0.015936,4.04,-0.15936,4.0,-1.5936000000000001,4.0
-0.00015920000000000002,0.56,-0.00015920000000000002,0.52,-0.01592,4.04,-0.1592,4.0,-1.592,4.0
-0.00015904000000000002,0.56,-0.00015904000000000002,0.52,-0.015904,4.0,-0.15904000000000001,4.0,-1.5904,4.0
-0.00015888000000000002,0.56,-0.00015888000000000002,0.52,-0.015888,4.0,-0.15888,4.0,-1.5888,4.0
-0.00015872000000000003,0.52,-0.00015872000000000003,0.52,-0.015872,4.0,-0.15872,4.0,-1.5872000000000002,4.0
-0.00015856,0.52,-0.00015856,0.56,-0.015856000000000002,4.0,-0.15856,4.0,-1.5856000000000001,4.0
-0.0001584,0.52,-0.0001584,0.56,-0.01584,3.96,-0.1584,4.04,-1.584,4.0
-0.00015824,0.52,-0.00015824,0.52,-0.015824,4.0,-0.15824,4.0,-1.5824,4.0
-0.00015808,0.52,-0.00015808,0.52,-0.015808,4.0,-0.15808,4.0,-1.5808,4.0
-0.00015792,0.52,-0.00015792,0.52,-0.015792,4.0,-0.15792,4.0,-1.5792000000000002,4.0
-0.00015776,0.52,-0.00015776,0.52,-0.015776000000000002,4.0,-0.15776,4.0,-1.5776000000000001,4.0
