t_f_9901.2Hz,V1_f_9901.2Hz,t_f_990.1Hz,V1_f_990.1Hz,t_f_99.0Hz,V1_f_99.0Hz,t_f_9.9Hz,V1_f_9.9Hz,t_f_1.0Hz,V1_f_1.0Hz
-0.00016,0.0,-0.0016,0.0,-0.016,0.04,-0.16,0.04,-1.6,0.0
-0.00015984000000000001,0.04,-0.0015984,0.04,-0.015984,0.0,-0.15984,0.0,-1.5984,0.0
-0.00015968000000000002,0.04,-0.0015968,0.0,-0.015968,0.04,-0.15968000000000002,0.0,-1.5968,0.0
-0.00015952000000000002,0.0,-0.0015952000000000002,0.0,-0.015952,0.04,-0.15952,0.04,-1.5952000000000002,0.0
-0.00015936000000000002,0.0,-0.0015936000000000001,0.0,-0.015936,0.0,-0.15936,0.0,-1.5936000000000001,0.0
-0.00015920000000000002,0.0,-0.001592,0.04,-0.01592,0.0,-0.1592,0.0,-1.592,0.0
-0.00015904000000000002,0.0,-0.0015904,0.04,-0.015904,0.0,-0.15904000000000001,0.04,-1.5904,0.0
-0.00015888000000000002,0.0,-0.0015888,0.04,-0.015888,0.04,-0.15888,0.0,-1.5888,0.0
-0.00015872000000000003,0.04,-0.0015872,0.0,-0.015872,0.04,-0.15872,0.0,-1.5872000000000002,0.0
-0.00015856,0.0,-0.0015856000000000002,0.04,-0.015856000000000002,0.04,-0.15856,0.0,-1.5856000000000001,0.0
-0.0001584,0.0,-0.0015840000000000001,0.04,-0.01584,0.04,-0.1584,0.04,-1.584,0.04
-0.00015824,0.0,-0.0015824,0.0,-0.015824,0.0,-0.15824,0.0,-1.5824,0.0
-0.00015808,0.04,-0.0015808,0.0,-0.015808,0.0,-0.15808,0.0,-1.5808,0.04
-0.00015792,0.0,-0.0015792,0.04,-0.015792,0.04,-0.15792,0.0,-1.5792000000000002,0.0
-0.00015776,0.0,-0.0015776000000000002,0.04,-0.015776000000000002,0.04,-0.15776,0.04,-1.5776000000000001,0.0
-0.0001576,0.04,-0.0015760000000000001,0.0,-0.01576,0.04,-0.1576,0.04,-1.576,0.04
-0.00015744,0.0,-0.0015744,0.04,-0.015744,0.04,-0.15744,0.04,-1.5744,0.04
-0.00015728,0.0,-0.0015728,0.04,-0.015728,0.0,-0.15728,0.0,-1.5728,0.04
-0.00015712000000000001,0.04,-0.0015712,0.04,-0.015712,0.0,-0.15712,0.04,-1.5712000000000002,0.04
-0.00015696000000000002,0.0,-0.0015696,0.04,-0.015696,0.0,-0.15696000000000002,0.0,-1.5696,0.0
-0.00015680000000000002,0.04,-0.0015680000000000002,0.04,-0.01568,0.0,-0.1568,0.0,-1.568,0.0
-0.00015664000000000002,0.0,-0.0015664000000000001,0.04,-0.015664,0.0,-0.15664,0.04,-1.5664,0.0
-0.00015648000000000002,0.0,-0.0015648,0.0,-0.015648,0.04,-0.15648,0.04,-1.5648000000000002,0.0
-0.00015632000000000002,0.0,-0.0015632,0.0,-0.015632,0.04,-0.15632000000000001,0.0,-1.5632000000000001,0.0
-0.00015616000000000002,0.04,-0.0015616,0.0,-0.015616,0.04,-0.15616,0.0,-1.5616,0.04
-0.00015600000000000002,0.04,-0.0015600000000000002,0.04,-0.015600000000000001,0.04,-0.156,0.0,-1.56,0.0
-0.00015584000000000003,0.0,-0.0015584000000000001,0.0,-0.015584,0.04,-0.15584,0.0,-1.5584,0.04
-0.00015568,0.0,-0.0015568000000000001,0.04,-0.015568,0.0,-0.15568,0.0,-1.5568000000000002,0.04
-0.00015552,0.0,-0.0015552,0.04,-0.015552,0.0,-0.15552,0.04,-1.5552000000000001,0.0
-0.00015536,0.0,-0.0015536,0.0,-0.015536000000000001,0.04,-0.15536,0.04,-1.5536,0.0
-0.0001552,0.04,-0.001552,0.0,-0.01552,0.0,-0.1552,0.0,-1.552,0.04
-0.00015504,0.0,-0.0015504000000000002,0.04,-0.015504,0.04,-0.15504,0.04,-1.5504,0.04
-0.00015488,0.04,-0.0015488000000000001,0.0,-0.015488,0.0,-0.15488,0.0,-1.5488000000000002,0.0
-0.00015472,0.0,-0.0015472,0.0,-0.015472,0.0,-0.15472,0.04,-1.5472000000000001,0.0
-0.00015456,0.04,-0.0015456,0.04,-0.015456000000000001,0.0,-0.15456,0.04,-1.5456,0.04
-0.0001544,0.04,-0.001544,0.04,-0.01544,0.0,-0.1544,0.0,-1.544,0.04
-0.00015424000000000001,0.04,-0.0015424,0.0,-0.015424,0.0,-0.15424000000000002,0.04,-1.5424,0.04
