t_f_1009338.4Hz,V2_f_1009338.4Hz,t_f_100933.8Hz,V2_f_100933.8Hz,t_f_10093.4Hz,V2_f_10093.4Hz,t_f_1009.3Hz,V2_f_1009.3Hz,t_f_100.9Hz,V2_f_100.9Hz
-2e-06,1.84,-1.6e-05,1.76,-0.00016,1.6400000000000001,-0.00016,1.6,-0.016,3.96
-1.9979999999999998e-06,1.72,-1.5983999999999998e-05,1.8,-0.00015984000000000001,1.6,-0.00015984000000000001,1.6,-0.015984,4.0
-1.996e-06,1.72,-1.5968e-05,1.8,-0.00015968000000000002,1.6,-0.00015968000000000002,1.6,-0.015968,3.96
-1.994e-06,1.68,-1.5952e-05,1.8,-0.00015952000000000002,1.6400000000000001,-0.00015952000000000002,1.6,-0.015952,4.0
-1.9919999999999997e-06,1.6400000000000001,-1.5935999999999998e-05,1.8,-0.00015936000000000002,1.6,-0.00015936000000000002,1.6,-0.015936,4.0
-1.99e-06,1.56,-1.592e-05,1.76,-0.00015920000000000002,1.6,-0.00015920000000000002,1.6,-0.01592,4.0
-1.988e-06,1.48,-1.5904e-05,1.8,-0.00015904000000000002,1.6400000000000001,-0.00015904000000000002,1.6,-0.015904,4.0
-1.9859999999999997e-06,1.4000000000000001,-1.5887999999999998e-05,1.8,-0.00015888000000000002,1.6,-0.00015888000000000002,1.6,-0.015888,3.96
-1.984e-06,1.4000000000000001,-1.5872e-05,1.76,-0.00015872000000000003,1.6,-0.00015872000000000003,1.56,-0.015872,4.0
-1.982e-06,1.4000000000000001,-1.5856e-05,1.8,-0.00015856,1.6,-0.00015856,1.6,-0.015856000000000002,3.96
-1.98e-06,1.4000000000000001,-1.584e-05,1.8,-0.0001584,1.56,-0.0001584,1.6,-0.01584,4.0
-1.978e-06,1.44,-1.5824e-05,1.8,-0.00015824,1.6,-0.00015824,1.6,-0.015824,3.96
-1.976e-06,1.52,-1.5808e-05,1.8,-0.00015808,1.6,-0.00015808,1.6,-0.015808,3.96
-1.974e-06,1.6,-1.5792e-05,1.76,-0.00015792,1.6,-0.00015792,1.56,-0.015792,4.0
-1.972e-06,1.72,-1.5776e-05,1.8,-0.00015776,1.6,-0.00015776,1.56,-0.015776000000000002,3.96
-1.9699999999999998e-06,1.84,-1.5759999999999998e-05,1.8,-0.0001576,1.6,-0.0001576,1.6,-0.01576,3.96
-1.968e-06,1.96,-1.5744e-05,1.8,-0.00015744,1.6,-0.00015744,1.56,-0.015744,3.96
-1.966e-06,2.04,-1.5728e-05,1.8,-0.00015728,1.6,-0.00015728,1.56,-0.015728,4.0
